frame,id,x,y,width,height,vehicle_type
99,5,140.5,13.65,4.24,1.82,Car
100,5,138.77,13.66,4.24,1.82,Car
101,5,137.03,13.66,4.24,1.82,Car
102,5,135.29,13.66,4.24,1.82,Car
103,5,133.55,13.66,4.24,1.82,Car
104,5,131.82,13.66,4.24,1.82,Car
105,5,130.08,13.67,4.24,1.82,Car
106,5,128.34,13.67,4.24,1.82,Car
107,5,126.6,13.67,4.24,1.82,Car
108,5,124.87,13.67,4.24,1.82,Car
109,5,123.14,13.68,4.24,1.82,Car
110,5,121.41,13.68,4.24,1.82,Car
111,5,119.67,13.69,4.24,1.82,Car
112,5,117.94,13.69,4.24,1.82,Car
113,5,116.21,13.69,4.24,1.82,Car
114,5,114.48,13.7,4.24,1.82,Car
115,5,112.75,13.7,4.24,1.82,Car
116,5,111.01,13.71,4.24,1.82,Car
117,5,109.28,13.71,4.24,1.82,Car
118,5,107.55,13.71,4.24,1.82,Car
119,5,105.82,13.72,4.24,1.82,Car
120,5,104.08,13.72,4.24,1.82,Car
121,5,102.35,13.72,4.24,1.82,Car
122,5,100.62,13.72,4.24,1.82,Car
123,5,98.89,13.73,4.24,1.82,Car
124,5,97.16,13.73,4.24,1.82,Car
125,5,95.43,13.73,4.24,1.82,Car
126,5,93.7,13.73,4.24,1.82,Car
127,5,91.96,13.73,4.24,1.82,Car
128,5,90.23,13.74,4.24,1.82,Car
129,5,88.49,13.74,4.24,1.82,Car
130,5,86.75,13.74,4.24,1.82,Car
131,5,85.02,13.74,4.24,1.82,Car
132,5,83.28,13.74,4.24,1.82,Car
133,5,81.54,13.74,4.24,1.82,Car
134,5,79.81,13.74,4.24,1.82,Car
135,5,78.07,13.74,4.24,1.82,Car
136,5,76.32,13.74,4.24,1.82,Car
137,5,74.57,13.74,4.24,1.82,Car
138,5,72.82,13.74,4.24,1.82,Car
139,5,71.09,13.74,4.24,1.82,Car
140,5,69.34,13.74,4.24,1.82,Car
141,5,67.59,13.73,4.24,1.82,Car
142,5,65.84,13.73,4.24,1.82,Car
143,5,64.1,13.73,4.24,1.82,Car
144,5,62.35,13.73,4.24,1.82,Car
145,5,60.6,13.73,4.24,1.82,Car
146,5,58.84,13.72,4.24,1.82,Car
147,5,57.09,13.72,4.24,1.82,Car
148,5,55.34,13.72,4.24,1.82,Car
149,5,53.6,13.72,4.24,1.82,Car
150,5,51.86,13.71,4.24,1.82,Car
151,5,50.11,13.71,4.24,1.82,Car
152,5,48.36,13.71,4.24,1.82,Car
153,5,46.61,13.71,4.24,1.82,Car
154,5,44.85,13.7,4.24,1.82,Car
155,5,43.1,13.7,4.24,1.82,Car
156,5,41.35,13.7,4.24,1.82,Car
157,5,39.59,13.7,4.24,1.82,Car
158,5,37.84,13.7,4.24,1.82,Car
159,5,36.07,13.7,4.24,1.82,Car
160,5,34.31,13.69,4.24,1.82,Car
161,5,32.55,13.69,4.24,1.82,Car
162,5,30.79,13.69,4.24,1.82,Car
163,5,29.02,13.69,4.24,1.82,Car
164,5,27.26,13.69,4.24,1.82,Car
165,5,25.5,13.69,4.24,1.82,Car
166,5,23.72,13.69,4.24,1.82,Car
167,5,21.96,13.69,4.24,1.82,Car
168,5,20.18,13.69,4.24,1.82,Car
169,5,18.41,13.69,4.24,1.82,Car
170,5,16.65,13.69,4.24,1.82,Car
171,5,14.9,13.69,4.24,1.82,Car
172,5,13.14,13.7,4.24,1.82,Car
173,5,11.38,13.7,4.24,1.82,Car
174,5,9.63,13.7,4.24,1.82,Car
175,5,7.87,13.7,4.24,1.82,Car
176,5,6.11,13.7,4.24,1.82,Car
177,5,4.34,13.7,4.24,1.82,Car
178,5,2.56,13.7,4.24,1.82,Car
179,5,0.79,13.71,4.24,1.82,Car
180,5,-0.98,13.71,4.24,1.82,Car
181,5,-2.75,13.71,4.24,1.82,Car
182,5,-4.52,13.71,4.24,1.82,Car
1,6,241.89,25.66,11.82,2.5,Truck
2,6,242.73,25.66,11.82,2.5,Truck
3,6,243.6,25.66,11.82,2.5,Truck
4,6,244.5,25.66,11.82,2.5,Truck
5,6,245.41,25.66,11.82,2.5,Truck
6,6,246.33,25.66,11.82,2.5,Truck
7,6,247.26,25.66,11.82,2.5,Truck
8,6,248.19,25.66,11.82,2.5,Truck
9,6,249.11,25.66,11.82,2.5,Truck
10,6,250.04,25.66,11.82,2.5,Truck
11,6,250.97,25.66,11.82,2.5,Truck
12,6,251.89,25.66,11.82,2.5,Truck
13,6,252.81,25.66,11.82,2.5,Truck
14,6,253.75,25.66,11.82,2.5,Truck
15,6,254.68,25.65,11.82,2.5,Truck
16,6,255.61,25.65,11.82,2.5,Truck
17,6,256.55,25.65,11.82,2.5,Truck
18,6,257.48,25.65,11.82,2.5,Truck
19,6,258.41,25.65,11.82,2.5,Truck
20,6,259.34,25.65,11.82,2.5,Truck
21,6,260.26,25.65,11.82,2.5,Truck
22,6,261.19,25.65,11.82,2.5,Truck
23,6,262.12,25.65,11.82,2.5,Truck
24,6,263.05,25.65,11.82,2.5,Truck
25,6,263.98,25.65,11.82,2.5,Truck
26,6,264.91,25.64,11.82,2.5,Truck
27,6,265.84,25.64,11.82,2.5,Truck
28,6,266.77,25.64,11.82,2.5,Truck
29,6,267.71,25.64,11.82,2.5,Truck
30,6,268.64,25.64,11.82,2.5,Truck
31,6,269.58,25.63,11.82,2.5,Truck
32,6,270.51,25.63,11.82,2.5,Truck
33,6,271.44,25.63,11.82,2.5,Truck
34,6,272.36,25.62,11.82,2.5,Truck
35,6,273.3,25.62,11.82,2.5,Truck
36,6,274.23,25.61,11.82,2.5,Truck
37,6,275.16,25.61,11.82,2.5,Truck
38,6,276.08,25.6,11.82,2.5,Truck
39,6,277.02,25.6,11.82,2.5,Truck
40,6,277.95,25.6,11.82,2.5,Truck
41,6,278.88,25.59,11.82,2.5,Truck
42,6,279.81,25.59,11.82,2.5,Truck
43,6,280.74,25.58,11.82,2.5,Truck
44,6,281.68,25.58,11.82,2.5,Truck
45,6,282.61,25.57,11.82,2.5,Truck
46,6,283.54,25.56,11.82,2.5,Truck
47,6,284.48,25.56,11.82,2.5,Truck
48,6,285.41,25.55,11.82,2.5,Truck
49,6,286.34,25.55,11.82,2.5,Truck
50,6,287.27,25.54,11.82,2.5,Truck
51,6,288.2,25.53,11.82,2.5,Truck
52,6,289.15,25.53,11.82,2.5,Truck
53,6,290.08,25.52,11.82,2.5,Truck
54,6,291.01,25.51,11.82,2.5,Truck
55,6,291.94,25.51,11.82,2.5,Truck
56,6,292.88,25.5,11.82,2.5,Truck
57,6,293.82,25.49,11.82,2.5,Truck
58,6,294.76,25.48,11.82,2.5,Truck
59,6,295.7,25.48,11.82,2.5,Truck
60,6,296.64,25.47,11.82,2.5,Truck
61,6,297.57,25.46,11.82,2.5,Truck
62,6,298.5,25.46,11.82,2.5,Truck
63,6,299.43,25.45,11.82,2.5,Truck
64,6,300.37,25.44,11.82,2.5,Truck
65,6,301.3,25.43,11.82,2.5,Truck
66,6,302.23,25.43,11.82,2.5,Truck
67,6,303.15,25.42,11.82,2.5,Truck
68,6,304.08,25.42,11.82,2.5,Truck
69,6,305.01,25.41,11.82,2.5,Truck
70,6,305.95,25.4,11.82,2.5,Truck
71,6,306.88,25.39,11.82,2.5,Truck
72,6,307.81,25.39,11.82,2.5,Truck
73,6,308.75,25.38,11.82,2.5,Truck
74,6,309.69,25.37,11.82,2.5,Truck
75,6,310.62,25.37,11.82,2.5,Truck
76,6,311.55,25.36,11.82,2.5,Truck
77,6,312.48,25.35,11.82,2.5,Truck
78,6,313.41,25.35,11.82,2.5,Truck
79,6,314.34,25.34,11.82,2.5,Truck
80,6,315.27,25.34,11.82,2.5,Truck
81,6,316.2,25.33,11.82,2.5,Truck
82,6,317.13,25.33,11.82,2.5,Truck
83,6,318.07,25.32,11.82,2.5,Truck
84,6,319.0,25.32,11.82,2.5,Truck
85,6,319.93,25.31,11.82,2.5,Truck
86,6,320.86,25.31,11.82,2.5,Truck
87,6,321.8,25.3,11.82,2.5,Truck
88,6,322.74,25.3,11.82,2.5,Truck
89,6,323.67,25.29,11.82,2.5,Truck
90,6,324.6,25.29,11.82,2.5,Truck
91,6,325.54,25.28,11.82,2.5,Truck
92,6,326.48,25.28,11.82,2.5,Truck
93,6,327.42,25.28,11.82,2.5,Truck
94,6,328.37,25.27,11.82,2.5,Truck
95,6,329.3,25.27,11.82,2.5,Truck
96,6,330.23,25.27,11.82,2.5,Truck
97,6,331.16,25.26,11.82,2.5,Truck
98,6,332.09,25.26,11.82,2.5,Truck
99,6,333.01,25.26,11.82,2.5,Truck
100,6,333.94,25.25,11.82,2.5,Truck
101,6,334.87,25.25,11.82,2.5,Truck
102,6,335.8,25.25,11.82,2.5,Truck
103,6,336.74,25.25,11.82,2.5,Truck
104,6,337.68,25.24,11.82,2.5,Truck
105,6,338.62,25.24,11.82,2.5,Truck
106,6,339.56,25.24,11.82,2.5,Truck
107,6,340.49,25.24,11.82,2.5,Truck
108,6,341.43,25.24,11.82,2.5,Truck
109,6,342.35,25.24,11.82,2.5,Truck
110,6,343.28,25.24,11.82,2.5,Truck
111,6,344.21,25.24,11.82,2.5,Truck
112,6,345.15,25.24,11.82,2.5,Truck
113,6,346.1,25.24,11.82,2.5,Truck
114,6,347.05,25.24,11.82,2.5,Truck
115,6,347.99,25.24,11.82,2.5,Truck
116,6,348.92,25.24,11.82,2.5,Truck
117,6,349.85,25.24,11.82,2.5,Truck
118,6,350.77,25.24,11.82,2.5,Truck
119,6,351.7,25.25,11.82,2.5,Truck
120,6,352.61,25.25,11.82,2.5,Truck
121,6,353.54,25.25,11.82,2.5,Truck
122,6,354.46,25.25,11.82,2.5,Truck
123,6,355.39,25.25,11.82,2.5,Truck
124,6,356.34,25.25,11.82,2.5,Truck
125,6,357.28,25.25,11.82,2.5,Truck
126,6,358.21,25.25,11.82,2.5,Truck
127,6,359.15,25.25,11.82,2.5,Truck
128,6,360.09,25.25,11.82,2.5,Truck
129,6,361.03,25.25,11.82,2.5,Truck
130,6,361.97,25.25,11.82,2.5,Truck
131,6,362.9,25.25,11.82,2.5,Truck
132,6,363.83,25.26,11.82,2.5,Truck
133,6,364.76,25.26,11.82,2.5,Truck
134,6,365.69,25.26,11.82,2.5,Truck
135,6,366.61,25.26,11.82,2.5,Truck
136,6,367.54,25.26,11.82,2.5,Truck
137,6,368.46,25.26,11.82,2.5,Truck
138,6,369.39,25.26,11.82,2.5,Truck
139,6,370.33,25.26,11.82,2.5,Truck
140,6,371.25,25.27,11.82,2.5,Truck
141,6,372.19,25.27,11.82,2.5,Truck
142,6,373.12,25.27,11.82,2.5,Truck
143,6,374.07,25.27,11.82,2.5,Truck
144,6,375.01,25.27,11.82,2.5,Truck
145,6,375.96,25.27,11.82,2.5,Truck
146,6,376.91,25.28,11.82,2.5,Truck
147,6,377.84,25.28,11.82,2.5,Truck
148,6,378.78,25.28,11.82,2.5,Truck
149,6,379.72,25.28,11.82,2.5,Truck
150,6,380.65,25.28,11.82,2.5,Truck
151,6,381.58,25.29,11.82,2.5,Truck
152,6,382.51,25.29,11.82,2.5,Truck
153,6,383.44,25.29,11.82,2.5,Truck
154,6,384.37,25.29,11.82,2.5,Truck
155,6,385.31,25.29,11.82,2.5,Truck
156,6,386.25,25.29,11.82,2.5,Truck
157,6,387.19,25.29,11.82,2.5,Truck
158,6,388.13,25.3,11.82,2.5,Truck
159,6,389.06,25.3,11.82,2.5,Truck
160,6,389.99,25.3,11.82,2.5,Truck
161,6,390.92,25.3,11.82,2.5,Truck
162,6,391.86,25.3,11.82,2.5,Truck
163,6,392.79,25.31,11.82,2.5,Truck
164,6,393.72,25.31,11.82,2.5,Truck
165,6,394.65,25.31,11.82,2.5,Truck
166,6,395.59,25.31,11.82,2.5,Truck
167,6,396.53,25.32,11.82,2.5,Truck
168,6,397.47,25.32,11.82,2.5,Truck
169,6,398.4,25.32,11.82,2.5,Truck
170,6,399.34,25.32,11.82,2.5,Truck
171,6,400.27,25.33,11.82,2.5,Truck
172,6,401.21,25.33,11.82,2.5,Truck
173,6,402.14,25.33,11.82,2.5,Truck
174,6,403.08,25.34,11.82,2.5,Truck
175,6,404.01,25.34,11.82,2.5,Truck
176,6,404.95,25.34,11.82,2.5,Truck
177,6,405.88,25.34,11.82,2.5,Truck
178,6,406.82,25.35,11.82,2.5,Truck
179,6,407.75,25.35,11.82,2.5,Truck
180,6,408.69,25.35,11.82,2.5,Truck
181,6,409.63,25.36,11.82,2.5,Truck
182,6,410.56,25.36,11.82,2.5,Truck
183,6,411.5,25.36,11.82,2.5,Truck
184,6,412.43,25.37,11.82,2.5,Truck
185,6,413.37,25.37,11.82,2.5,Truck
1,7,151.54,22.21,4.75,2.02,Car
2,7,152.73,22.2,4.75,2.02,Car
3,7,153.95,22.19,4.75,2.02,Car
4,7,155.21,22.18,4.75,2.02,Car
5,7,156.47,22.17,4.75,2.02,Car
6,7,157.74,22.16,4.75,2.02,Car
7,7,159.03,22.15,4.75,2.02,Car
8,7,160.33,22.14,4.75,2.02,Car
9,7,161.64,22.13,4.75,2.02,Car
10,7,162.95,22.12,4.75,2.02,Car
11,7,164.26,22.11,4.75,2.02,Car
12,7,165.56,22.11,4.75,2.02,Car
13,7,166.86,22.1,4.75,2.02,Car
14,7,168.18,22.09,4.75,2.02,Car
15,7,169.49,22.08,4.75,2.02,Car
16,7,170.81,22.07,4.75,2.02,Car
17,7,172.13,22.07,4.75,2.02,Car
18,7,173.45,22.06,4.75,2.02,Car
19,7,174.76,22.05,4.75,2.02,Car
20,7,176.08,22.05,4.75,2.02,Car
21,7,177.38,22.04,4.75,2.02,Car
22,7,178.7,22.04,4.75,2.02,Car
23,7,180.01,22.03,4.75,2.02,Car
24,7,181.32,22.02,4.75,2.02,Car
25,7,182.64,22.02,4.75,2.02,Car
26,7,183.96,22.01,4.75,2.02,Car
27,7,185.28,22.01,4.75,2.02,Car
28,7,186.59,22.0,4.75,2.02,Car
29,7,187.92,22.0,4.75,2.02,Car
30,7,189.25,21.99,4.75,2.02,Car
31,7,190.58,21.99,4.75,2.02,Car
32,7,191.9,21.99,4.75,2.02,Car
33,7,193.22,21.98,4.75,2.02,Car
34,7,194.55,21.98,4.75,2.02,Car
35,7,195.87,21.97,4.75,2.02,Car
36,7,197.2,21.97,4.75,2.02,Car
37,7,198.53,21.96,4.75,2.02,Car
38,7,199.85,21.96,4.75,2.02,Car
39,7,201.18,21.95,4.75,2.02,Car
40,7,202.51,21.95,4.75,2.02,Car
41,7,203.83,21.94,4.75,2.02,Car
42,7,205.15,21.94,4.75,2.02,Car
43,7,206.47,21.93,4.75,2.02,Car
44,7,207.79,21.93,4.75,2.02,Car
45,7,209.12,21.92,4.75,2.02,Car
46,7,210.44,21.91,4.75,2.02,Car
47,7,211.77,21.91,4.75,2.02,Car
48,7,213.11,21.9,4.75,2.02,Car
49,7,214.43,21.9,4.75,2.02,Car
50,7,215.76,21.89,4.75,2.02,Car
51,7,217.1,21.88,4.75,2.02,Car
52,7,218.44,21.88,4.75,2.02,Car
53,7,219.77,21.87,4.75,2.02,Car
54,7,221.11,21.87,4.75,2.02,Car
55,7,222.44,21.86,4.75,2.02,Car
56,7,223.77,21.85,4.75,2.02,Car
57,7,225.1,21.85,4.75,2.02,Car
58,7,226.45,21.84,4.75,2.02,Car
59,7,227.79,21.83,4.75,2.02,Car
60,7,229.13,21.82,4.75,2.02,Car
61,7,230.47,21.82,4.75,2.02,Car
62,7,231.81,21.81,4.75,2.02,Car
63,7,233.14,21.8,4.75,2.02,Car
64,7,234.47,21.8,4.75,2.02,Car
65,7,235.81,21.79,4.75,2.02,Car
66,7,237.15,21.78,4.75,2.02,Car
67,7,238.49,21.77,4.75,2.02,Car
68,7,239.83,21.77,4.75,2.02,Car
69,7,241.16,21.76,4.75,2.02,Car
70,7,242.51,21.75,4.75,2.02,Car
71,7,243.85,21.74,4.75,2.02,Car
72,7,245.19,21.74,4.75,2.02,Car
73,7,246.53,21.73,4.75,2.02,Car
74,7,247.87,21.72,4.75,2.02,Car
75,7,249.21,21.72,4.75,2.02,Car
76,7,250.55,21.71,4.75,2.02,Car
77,7,251.9,21.71,4.75,2.02,Car
78,7,253.24,21.7,4.75,2.02,Car
79,7,254.58,21.7,4.75,2.02,Car
80,7,255.94,21.69,4.75,2.02,Car
81,7,257.28,21.68,4.75,2.02,Car
82,7,258.64,21.68,4.75,2.02,Car
83,7,259.99,21.67,4.75,2.02,Car
84,7,261.34,21.67,4.75,2.02,Car
85,7,262.68,21.66,4.75,2.02,Car
86,7,264.03,21.66,4.75,2.02,Car
87,7,265.39,21.65,4.75,2.02,Car
88,7,266.74,21.65,4.75,2.02,Car
89,7,268.1,21.65,4.75,2.02,Car
90,7,269.45,21.64,4.75,2.02,Car
91,7,270.81,21.64,4.75,2.02,Car
92,7,272.16,21.64,4.75,2.02,Car
93,7,273.51,21.64,4.75,2.02,Car
94,7,274.87,21.64,4.75,2.02,Car
95,7,276.22,21.64,4.75,2.02,Car
96,7,277.58,21.63,4.75,2.02,Car
97,7,278.94,21.63,4.75,2.02,Car
98,7,280.3,21.63,4.75,2.02,Car
99,7,281.65,21.63,4.75,2.02,Car
100,7,283.01,21.63,4.75,2.02,Car
101,7,284.37,21.63,4.75,2.02,Car
102,7,285.72,21.63,4.75,2.02,Car
103,7,287.09,21.63,4.75,2.02,Car
104,7,288.44,21.64,4.75,2.02,Car
105,7,289.81,21.64,4.75,2.02,Car
106,7,291.16,21.64,4.75,2.02,Car
107,7,292.52,21.64,4.75,2.02,Car
108,7,293.89,21.64,4.75,2.02,Car
109,7,295.25,21.64,4.75,2.02,Car
110,7,296.62,21.64,4.75,2.02,Car
111,7,297.98,21.65,4.75,2.02,Car
112,7,299.35,21.65,4.75,2.02,Car
113,7,300.72,21.65,4.75,2.02,Car
114,7,302.09,21.65,4.75,2.02,Car
115,7,303.46,21.65,4.75,2.02,Car
116,7,304.82,21.66,4.75,2.02,Car
117,7,306.17,21.66,4.75,2.02,Car
118,7,307.54,21.66,4.75,2.02,Car
119,7,308.9,21.66,4.75,2.02,Car
120,7,310.26,21.67,4.75,2.02,Car
121,7,311.63,21.67,4.75,2.02,Car
122,7,313.0,21.67,4.75,2.02,Car
123,7,314.38,21.67,4.75,2.02,Car
124,7,315.75,21.67,4.75,2.02,Car
125,7,317.13,21.68,4.75,2.02,Car
126,7,318.5,21.68,4.75,2.02,Car
127,7,319.88,21.68,4.75,2.02,Car
128,7,321.25,21.68,4.75,2.02,Car
129,7,322.63,21.68,4.75,2.02,Car
130,7,324.0,21.69,4.75,2.02,Car
131,7,325.37,21.69,4.75,2.02,Car
132,7,326.73,21.69,4.75,2.02,Car
133,7,328.1,21.69,4.75,2.02,Car
134,7,329.48,21.7,4.75,2.02,Car
135,7,330.85,21.7,4.75,2.02,Car
136,7,332.21,21.7,4.75,2.02,Car
137,7,333.58,21.71,4.75,2.02,Car
138,7,334.95,21.71,4.75,2.02,Car
139,7,336.33,21.71,4.75,2.02,Car
140,7,337.69,21.72,4.75,2.02,Car
141,7,339.07,21.72,4.75,2.02,Car
142,7,340.43,21.72,4.75,2.02,Car
143,7,341.81,21.72,4.75,2.02,Car
144,7,343.18,21.73,4.75,2.02,Car
145,7,344.56,21.73,4.75,2.02,Car
146,7,345.94,21.73,4.75,2.02,Car
147,7,347.3,21.74,4.75,2.02,Car
148,7,348.68,21.74,4.75,2.02,Car
149,7,350.06,21.74,4.75,2.02,Car
150,7,351.44,21.74,4.75,2.02,Car
151,7,352.82,21.74,4.75,2.02,Car
152,7,354.2,21.75,4.75,2.02,Car
153,7,355.58,21.75,4.75,2.02,Car
154,7,356.95,21.75,4.75,2.02,Car
155,7,358.33,21.75,4.75,2.02,Car
156,7,359.69,21.76,4.75,2.02,Car
157,7,361.07,21.76,4.75,2.02,Car
158,7,362.44,21.76,4.75,2.02,Car
159,7,363.8,21.76,4.75,2.02,Car
160,7,365.18,21.77,4.75,2.02,Car
161,7,366.55,21.77,4.75,2.02,Car
162,7,367.93,21.77,4.75,2.02,Car
163,7,369.31,21.77,4.75,2.02,Car
164,7,370.7,21.78,4.75,2.02,Car
165,7,372.08,21.78,4.75,2.02,Car
166,7,373.46,21.79,4.75,2.02,Car
167,7,374.84,21.79,4.75,2.02,Car
168,7,376.22,21.79,4.75,2.02,Car
169,7,377.59,21.8,4.75,2.02,Car
170,7,378.95,21.8,4.75,2.02,Car
171,7,380.32,21.81,4.75,2.02,Car
172,7,381.69,21.81,4.75,2.02,Car
173,7,383.07,21.82,4.75,2.02,Car
174,7,384.46,21.83,4.75,2.02,Car
175,7,385.86,21.83,4.75,2.02,Car
176,7,387.25,21.84,4.75,2.02,Car
177,7,388.65,21.84,4.75,2.02,Car
178,7,390.03,21.85,4.75,2.02,Car
179,7,391.42,21.86,4.75,2.02,Car
180,7,392.79,21.87,4.75,2.02,Car
181,7,394.18,21.87,4.75,2.02,Car
182,7,395.57,21.88,4.75,2.02,Car
183,7,396.95,21.89,4.75,2.02,Car
184,7,398.33,21.9,4.75,2.02,Car
185,7,399.71,21.9,4.75,2.02,Car
186,7,401.1,21.91,4.75,2.02,Car
187,7,402.48,21.92,4.75,2.02,Car
188,7,403.86,21.93,4.75,2.02,Car
189,7,405.24,21.94,4.75,2.02,Car
190,7,406.62,21.95,4.75,2.02,Car
191,7,408.01,21.96,4.75,2.02,Car
192,7,409.39,21.96,4.75,2.02,Car
193,7,410.78,21.97,4.75,2.02,Car
194,7,412.16,21.98,4.75,2.02,Car
195,7,413.55,21.99,4.75,2.02,Car
1,10,201.31,25.62,9.2,2.5,Truck
2,10,202.18,25.63,9.2,2.5,Truck
3,10,203.09,25.63,9.2,2.5,Truck
4,10,204.0,25.64,9.2,2.5,Truck
5,10,204.92,25.65,9.2,2.5,Truck
6,10,205.86,25.66,9.2,2.5,Truck
7,10,206.79,25.66,9.2,2.5,Truck
8,10,207.73,25.67,9.2,2.5,Truck
9,10,208.67,25.67,9.2,2.5,Truck
10,10,209.61,25.67,9.2,2.5,Truck
11,10,210.55,25.67,9.2,2.5,Truck
12,10,211.48,25.67,9.2,2.5,Truck
13,10,212.41,25.67,9.2,2.5,Truck
14,10,213.33,25.67,9.2,2.5,Truck
15,10,214.26,25.67,9.2,2.5,Truck
16,10,215.17,25.67,9.2,2.5,Truck
17,10,216.09,25.66,9.2,2.5,Truck
18,10,217.02,25.66,9.2,2.5,Truck
19,10,217.96,25.66,9.2,2.5,Truck
20,10,218.89,25.65,9.2,2.5,Truck
21,10,219.82,25.65,9.2,2.5,Truck
22,10,220.76,25.65,9.2,2.5,Truck
23,10,221.69,25.64,9.2,2.5,Truck
24,10,222.62,25.64,9.2,2.5,Truck
25,10,223.57,25.63,9.2,2.5,Truck
26,10,224.51,25.62,9.2,2.5,Truck
27,10,225.46,25.62,9.2,2.5,Truck
28,10,226.4,25.61,9.2,2.5,Truck
29,10,227.34,25.61,9.2,2.5,Truck
30,10,228.29,25.6,9.2,2.5,Truck
31,10,229.23,25.59,9.2,2.5,Truck
32,10,230.17,25.59,9.2,2.5,Truck
33,10,231.1,25.58,9.2,2.5,Truck
34,10,232.02,25.57,9.2,2.5,Truck
35,10,232.97,25.57,9.2,2.5,Truck
